"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J9";"2x20_Shrouded";1;"RPi Connector";;;
2;"J8";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"I2C Device";;;
3;"J7";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Light Sensor";;;
4;"12V,J4";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"VSupply";;;
5;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"390E";;;
6;"M2";"TB6612FNG Module";1;"TB6612FNG";;;
7;"Y1";"Crystal_HC49-4H_Vertical";1;"16MHz";;;
8;"C8,C9,C7";"CP_Radial_D5.0mm_P2.00mm";3;"100uF";;;
9;"J3";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";1;"ICSP";;;
10;"D2";"LED_D5.0mm";1;"POWER";;;
11;"M3";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"GY-906-BCC";;;
12;"J5";"JST_XH_B8B-XH-A_1x08_P2.50mm_Vertical";1;"6-channel Relay";;;
13;"C3,C4,C5,C6";"C_Disc_D5.0mm_W2.5mm_P5.00mm";4;"100nF";;;
14;"U1";"DIP-28_W7.62mm_Socket";1;"ATmega328P-P";;;
15;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"330E";;;
16;"D3";"LED_D5.0mm";1;"LED";;;
17;"C1,C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"22pF";;;
18;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"240E";;;
19;"U3";"TO-220-3_Vertical";1;"LM317";;;
20;"M4";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"JSN-SR04T";;;
21;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"POWER";;;
22;"J2";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"USB to TTL";;;
23;"MTR";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Gear Motor";;;
24;"U2";"TO-220-3_Vertical";1;"LM7805";;;
25;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
26;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
27;"SW1";"SW_PUSH_6mm_H5mm";1;"Reset SW";;;
28;"M1";"TXB0104 Module";1;"TXB0104";;;
