epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,187.11,2.87543,3.65008,2.04675,0.5041,0.03275,0.19452,0.04058,0.0142,2.49708,2.97769,1.76253,0.31738,0.00014,0.00014,0.00014
2,271.904,2.42462,2.34378,1.74558,0.25881,0.42078,0.33681,0.2356,0.08846,2.36549,1.74691,1.91143,0.10252,0.00029406,0.00029406,0.00029406
3,360.198,2.18519,1.42847,1.6276,0.10191,0.52742,0.42037,0.34189,0.13613,2.11975,1.49071,1.70107,0.09894,0.000441784,0.000441784,0.000441784
4,457.52,2.05817,1.25796,1.60207,0.09101,0.60875,0.45702,0.44261,0.18549,2.00372,1.30872,1.52076,0.0813,0.000583172,0.000583172,0.000583172
5,542.445,2.03513,1.17232,1.4985,0.07714,0.69285,0.53891,0.53399,0.21674,1.90896,1.14041,1.51496,0.05354,0.000718224,0.000718224,0.000718224
6,626.637,2.12587,1.21997,1.50376,0.07753,0.71129,0.53069,0.54632,0.21296,1.89292,1.1469,1.48768,0.05215,0.00084694,0.00084694,0.00084694
7,707.157,1.96076,1.0803,1.53071,0.07909,0.61734,0.53003,0.4951,0.16512,1.97118,1.27865,1.53426,0.05614,0.00096932,0.00096932,0.00096932
8,787.415,1.81701,1.05086,1.47399,0.07005,0.64555,0.5705,0.58231,0.23633,1.86108,1.07606,1.48588,0.05011,0.00108536,0.00108536,0.00108536
9,873.088,1.82199,1.0141,1.45885,0.07119,0.74421,0.62663,0.61632,0.23096,1.779,1.06845,1.44107,0.04971,0.00119507,0.00119507,0.00119507
10,970.867,1.76967,0.95565,1.46477,0.07736,0.78074,0.63316,0.65457,0.27249,1.7218,1.01799,1.40417,0.0537,0.00129844,0.00129844,0.00129844
11,1050.39,1.76077,0.93701,1.37159,0.07579,0.76654,0.64883,0.66256,0.2792,1.72031,0.95994,1.36447,0.05981,0.00139548,0.00139548,0.00139548
12,1129.57,1.7277,0.91454,1.37935,0.0738,0.79135,0.64752,0.67426,0.29041,1.71368,0.91179,1.33498,0.06092,0.00148618,0.00148618,0.00148618
13,1190.8,1.76547,0.93067,1.33365,0.08304,0.82013,0.66071,0.69,0.2926,1.70248,0.87834,1.33645,0.0669,0.0015248,0.0015248,0.0015248
14,1251.1,1.71859,0.89245,1.29936,0.06395,0.79682,0.6436,0.69614,0.3145,1.62402,0.83887,1.2952,0.06521,0.0014852,0.0014852,0.0014852
