epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7975,2.59383,3.4381,1.85986,0.47874,0.40266,0.21391,0.15174,0.05205,2.14396,2.31868,1.69176,0.18077,0.00022,0.00022,0.00022
2,50.3424,2.02345,1.52439,1.66515,0.13594,0.6352,0.54049,0.49012,0.21972,1.85595,1.29263,1.62782,0.12138,0.000450892,0.000450892,0.000450892
3,68.0865,1.83093,1.13832,1.59489,0.1091,0.67467,0.55986,0.56687,0.25285,1.78534,1.19591,1.48642,0.09178,0.00067228,0.00067228,0.00067228
4,85.3005,1.82218,1.02957,1.50455,0.07997,0.7645,0.64437,0.65636,0.27441,1.75181,1.01315,1.48864,0.07876,0.000884164,0.000884164,0.000884164
5,102.697,1.79832,0.99101,1.49542,0.08539,0.774,0.58803,0.63664,0.25564,1.76484,0.99095,1.49581,0.07939,0.00108654,0.00108654,0.00108654
6,120.285,1.75653,0.95296,1.45497,0.08158,0.81635,0.64789,0.69342,0.31076,1.64459,0.888,1.48381,0.07816,0.00127942,0.00127942,0.00127942
7,138.609,1.66755,0.88956,1.41393,0.07658,0.80319,0.71215,0.74387,0.34113,1.61848,0.8554,1.43377,0.07824,0.00146279,0.00146279,0.00146279
8,157.258,1.59918,0.86973,1.44005,0.07408,0.84218,0.70599,0.74965,0.35722,1.63,0.84472,1.4546,0.0718,0.00163666,0.00163666,0.00163666
9,175.181,1.64397,0.87208,1.41594,0.0756,0.7667,0.70951,0.71434,0.30917,1.67493,0.95462,1.50418,0.07775,0.0016832,0.0016832,0.0016832
10,193.129,1.64011,0.85913,1.40826,0.07118,0.79619,0.72561,0.75489,0.36456,1.57428,0.82521,1.46836,0.07326,0.0016436,0.0016436,0.0016436
11,211.077,1.60249,0.83914,1.40526,0.07747,0.7811,0.71619,0.73661,0.35892,1.58079,0.82921,1.43666,0.07739,0.001604,0.001604,0.001604
12,228.916,1.6235,0.83799,1.40725,0.07599,0.80294,0.70303,0.73413,0.35126,1.56634,0.83511,1.4601,0.07379,0.0015644,0.0015644,0.0015644
13,245.271,1.57446,0.81271,1.38332,0.07755,0.81229,0.71232,0.76071,0.37006,1.5351,0.78113,1.409,0.07661,0.0015248,0.0015248,0.0015248
14,262.836,1.49176,0.78169,1.38171,0.08037,0.83083,0.71831,0.76594,0.36345,1.58651,0.82206,1.44528,0.07625,0.0014852,0.0014852,0.0014852
15,280.111,1.50896,0.7768,1.35658,0.07316,0.8479,0.6919,0.76465,0.38503,1.49945,0.76592,1.38686,0.07253,0.0014456,0.0014456,0.0014456
16,296.543,1.49236,0.77498,1.37302,0.07682,0.8719,0.71655,0.77973,0.38795,1.47676,0.75759,1.36266,0.0732,0.001406,0.001406,0.001406
17,313.832,1.50193,0.75248,1.33374,0.06869,0.83718,0.73325,0.77905,0.37674,1.5264,0.77153,1.38509,0.07092,0.0013664,0.0013664,0.0013664
18,331.913,1.4925,0.76167,1.35819,0.06776,0.88208,0.73415,0.78646,0.39,1.48173,0.76738,1.35015,0.07218,0.0013268,0.0013268,0.0013268
19,349.558,1.4745,0.75612,1.39323,0.08473,0.8592,0.70687,0.75976,0.37437,1.48469,0.84487,1.38365,0.07427,0.0012872,0.0012872,0.0012872
20,367.815,1.42002,0.74801,1.33796,0.07225,0.84384,0.73151,0.78805,0.39674,1.4487,0.75832,1.3656,0.06909,0.0012476,0.0012476,0.0012476
21,385.715,1.47475,0.7553,1.32541,0.0722,0.86496,0.71606,0.78387,0.38793,1.46033,0.77064,1.36306,0.07028,0.001208,0.001208,0.001208
22,403.036,1.43248,0.74056,1.33847,0.07357,0.85853,0.72653,0.79109,0.39715,1.42586,0.75265,1.35882,0.07113,0.0011684,0.0011684,0.0011684
23,420.3,1.42638,0.74785,1.36035,0.07384,0.8823,0.73592,0.80025,0.39701,1.46669,0.74508,1.33848,0.07185,0.0011288,0.0011288,0.0011288
24,437.846,1.44814,0.7198,1.31547,0.0738,0.87754,0.73151,0.79533,0.40055,1.44191,0.75467,1.35782,0.07202,0.0010892,0.0010892,0.0010892
25,455.811,1.39027,0.70544,1.32373,0.07791,0.87409,0.7412,0.79191,0.3845,1.4635,0.73904,1.34028,0.0675,0.0010496,0.0010496,0.0010496
26,473.964,1.39861,0.70117,1.33317,0.07754,0.84651,0.73792,0.79428,0.39809,1.43489,0.75605,1.3586,0.06788,0.00101,0.00101,0.00101
27,491.379,1.40825,0.71052,1.32701,0.07457,0.87582,0.73884,0.79176,0.40182,1.44683,0.7533,1.33837,0.06782,0.0009704,0.0009704,0.0009704
28,507.929,1.39458,0.69155,1.33547,0.07756,0.90691,0.73327,0.7931,0.40023,1.41932,0.75001,1.34851,0.06728,0.0009308,0.0009308,0.0009308
29,524.56,1.45519,0.73232,1.28868,0.07504,0.84828,0.73327,0.78563,0.38725,1.46848,0.74196,1.36327,0.06667,0.0008912,0.0008912,0.0008912
30,542.14,1.36264,0.70233,1.32368,0.07611,0.85672,0.74208,0.79439,0.41295,1.42353,0.71756,1.32473,0.06946,0.0008516,0.0008516,0.0008516
31,559.186,1.39693,0.69059,1.28446,0.07121,0.86985,0.72711,0.79487,0.41433,1.3928,0.70939,1.33716,0.0685,0.000812,0.000812,0.000812
32,576.356,1.37263,0.69054,1.30944,0.07017,0.87204,0.7412,0.79007,0.4087,1.42031,0.71303,1.31004,0.06858,0.0007724,0.0007724,0.0007724
33,592.926,1.31583,0.66505,1.30098,0.06384,0.86608,0.75145,0.79666,0.41653,1.41296,0.70134,1.31912,0.06969,0.0007328,0.0007328,0.0007328
34,611.57,1.34611,0.67956,1.29745,0.07775,0.88019,0.74374,0.80757,0.41711,1.39781,0.68899,1.33273,0.06798,0.0006932,0.0006932,0.0006932
35,628.363,1.284,0.65148,1.3011,0.0749,0.88067,0.73327,0.79816,0.4142,1.3917,0.67885,1.33565,0.06692,0.0006536,0.0006536,0.0006536
36,645.945,1.29498,0.65905,1.29799,0.06117,0.88159,0.72447,0.79641,0.41786,1.38887,0.69696,1.33447,0.06862,0.000614,0.000614,0.000614
37,664.342,1.38671,0.68341,1.30256,0.08827,0.87747,0.74824,0.80756,0.41407,1.41042,0.70402,1.32313,0.06803,0.0005744,0.0005744,0.0005744
38,681.839,1.36834,0.67655,1.26094,0.07055,0.88814,0.75483,0.81126,0.41141,1.40194,0.70383,1.33081,0.06908,0.0005348,0.0005348,0.0005348
39,699.923,1.35426,0.69934,1.33702,0.07538,0.88299,0.75616,0.81189,0.42936,1.37376,0.68557,1.31065,0.0679,0.0004952,0.0004952,0.0004952
40,717.905,1.33322,0.67446,1.29078,0.0742,0.87292,0.73772,0.79765,0.42239,1.38105,0.69792,1.30983,0.06898,0.0004556,0.0004556,0.0004556
41,737.112,1.27995,0.65565,1.30057,0.06976,0.88347,0.72447,0.80274,0.42521,1.36716,0.69219,1.31475,0.06903,0.000416,0.000416,0.000416
42,752.562,1.28842,0.64522,1.31781,0.07197,0.89071,0.74296,0.80861,0.42789,1.36542,0.68416,1.31485,0.06762,0.0003764,0.0003764,0.0003764
43,768.746,1.23122,0.62082,1.30695,0.07347,0.89859,0.75264,0.81534,0.42804,1.36269,0.68277,1.31548,0.06765,0.0003368,0.0003368,0.0003368
44,784.576,1.22606,0.63385,1.30047,0.07424,0.88164,0.75352,0.81318,0.422,1.36459,0.68105,1.31237,0.06756,0.0002972,0.0002972,0.0002972
45,800.407,1.25616,0.63131,1.30602,0.07497,0.89003,0.74808,0.81388,0.42167,1.37107,0.68373,1.31335,0.06684,0.0002576,0.0002576,0.0002576
46,816.055,1.2339,0.62565,1.29144,0.07097,0.87927,0.75009,0.81284,0.42045,1.37515,0.68874,1.31642,0.06697,0.000218,0.000218,0.000218
47,832.347,1.2463,0.62733,1.27556,0.07311,0.8813,0.75352,0.81239,0.42132,1.37302,0.68662,1.31493,0.0667,0.0001784,0.0001784,0.0001784
48,847.656,1.21042,0.6068,1.31085,0.07456,0.87699,0.75088,0.81433,0.42695,1.36075,0.67832,1.30551,0.06666,0.0001388,0.0001388,0.0001388
49,863.431,1.22778,0.61828,1.3099,0.07914,0.8826,0.76106,0.81862,0.4285,1.35658,0.67222,1.30352,0.06649,9.92e-05,9.92e-05,9.92e-05
50,879.992,1.22466,0.61464,1.27937,0.07252,0.8793,0.76673,0.82021,0.42995,1.35371,0.67081,1.30495,0.06643,5.96e-05,5.96e-05,5.96e-05
